Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2014,10,22,17:11:05,40.4047,30.1188,7.6,4.3,"10 km ENE of Osmaneli, Turkey",1413997865
2014,08,03,22:22:45,40.6243,29.2073,10.0,4.0,"1 km WNW of Kad?köy, Turkey",1407104565
2014,07,16,11:59:28,40.2592,26.2392,14.0,4.0,"13 km NW of Eceabat, Turkey",1405511968
2014,07,09,23:45:02,40.4308,26.2658,14.9,4.4,"28 km NNW of Eceabat, Turkey",1404949502
2014,07,03,05:04:46,40.2083,27.9282,12.1,4.6,"16 km SSW of Band?rma, Turkey",1404363886
2014,02,05,01:56:44,41.3725,28.6327,12.0,3.8,"8 km NNW of Durusu, Turkey",1391565404
2013,11,27,04:21:35,40.8478,27.9123,7.4,4.0,"13 km SSW of Marmara Ere?lisi, Turkey",1385526095
2013,11,27,04:13:37,40.851,27.9198,9.6,4.5,"13 km SSW of Marmara Ere?lisi, Turkey",1385525617
2013,08,29,09:03:24,40.4567,29.1227,3.2,3.3,"2 km SE of Küçükkumla, Turkey",1377767004
2013,08,29,06:20:34,40.3423,27.4427,14.1,4.4,"21 km NE of Biga, Turkey",1377757234
2013,08,17,18:16:31,40.4095,29.1213,5.7,4.1,"4 km SW of Gemlik, Turkey",1376763391
2012,06,07,20:54:25,40.848,27.921,14.9,4.9,"13 km SSW of Marmara Ere?lisi, Turkey",1339102465
2012,05,04,05:38:13,40.314,26.995,11.3,4.4,"23 km WNW of Biga, Turkey",1336109893
2011,08,16,17:30:06,40.439,28.895,5.1,4.0,"7 km N of Mudanya, Turkey",1313515806
2011,07,25,17:57:20,40.802,27.752,16.4,5.1,"25 km SW of Marmara Ere?lisi, Turkey",1311616640
2011,07,11,16:09:12,40.247,29.954,5.0,4.5,"5 km W of Vezirhan, Turkey",1310400552
2011,03,30,17:07:20,40.039,27.858,15.2,4.4,"9 km W of Manyas, Turkey",1301504840
2011,01,20,02:09:37,40.71,29.763,11.8,4.1,"1 km SE of Hal?dere, Turkey",1295489377
2010,12,31,20:57:36,40.597,27.367,8.6,4.5,"15 km W of Marmara, Turkey",1293829056
2010,11,03,02:51:27,40.423,26.333,15.3,5.3,"26 km N of Eceabat, Turkey",1288752687
2010,10,03,17:49:02,40.847,28.11,11.2,4.4,"18 km SE of Marmara Ere?lisi, Turkey",1286128142
2010,06,11,10:56:44,40.43,28.925,12.1,4.3,"7 km NNE of Mudanya, Turkey",1276253804
2010,05,15,14:08:23,41.183,30.121,8.9,4.3,"9 km W of Kefken, Turkey",1273932503
2009,08,08,13:52:38,40.322,27.367,6.7,4.3,"14 km NE of Biga, Turkey",1249739558
2009,01,24,15:58:38,40.798,27.785,11.2,4.6,Western Turkey,1232812718
2008,10,22,01:00:35,40.748,29.174,9.4,3.6,"10 km N of Koruköy, Turkey",1224637235
2008,10,05,06:04:05,40.65,29.017,8.5,4.1,"2 km NNW of Kocadere, Turkey",1223186645
2008,07,17,01:43:01,40.25,28.027,6.5,3.3,"12 km SSE of Band?rma, Turkey",1216258981
2008,07,15,09:19:48,40.369,27.448,6.0,4.1,"23 km NE of Biga, Turkey",1216113588
2008,07,14,16:02:12,40.728,27.369,10.4,3.7,"18 km SSW of Kumba?, Turkey",1216051332
2008,07,09,04:54:48,40.466,28.721,2.8,3.6,"16 km NW of Mudanya, Turkey",1215579288
2008,06,29,08:28:01,40.459,29.021,5.0,3.9,"6 km W of Küçükkumla, Turkey",1214728081
2008,06,13,11:02:22,40.372,28.005,5.9,3.7,Western Turkey,1213354942
2008,06,05,00:42:21,40.189,26.902,3.3,3.1,"21 km NW of Çan, Turkey",1212626541
2008,06,03,22:53:31,40.157,26.915,6.6,3.5,"18 km NW of Çan, Turkey",1212533611
2008,06,03,06:59:21,40.174,26.913,9.0,3.8,"19 km NW of Çan, Turkey",1212476361
2008,06,02,17:24:21,40.17,26.99,28.0,3.4,"16 km NNW of Çan, Turkey",1212427461
2008,06,01,22:21:55,40.148,26.915,5.0,3.7,"17 km NW of Çan, Turkey",1212358915
2008,06,01,03:35:24,40.213,26.928,7.8,4.1,"22 km NNW of Çan, Turkey",1212291324
2008,05,19,10:18:16,40.5,27.8,10.0,4.0,"11 km N of Erdek, Turkey",1211192296
2008,05,17,23:43:25,40.393,27.094,6.5,3.6,"22 km NW of Biga, Turkey",1211067805
2008,05,12,15:11:25,40.633,27.376,21.5,3.9,"16 km WNW of Marmara, Turkey",1210605085
2008,05,10,18:35:06,40.49,27.15,10.0,3.4,"30 km NNW of Biga, Turkey",1210444506
2008,04,12,03:25:20,40.375,27.424,8.7,3.5,"22 km NE of Biga, Turkey",1207970720
2008,03,26,11:49:03,40.54,26.81,10.0,3.7,"18 km NE of Gelibolu, Turkey",1206532143
2008,03,23,19:46:56,40.137,26.968,9.6,3.1,"13 km NNW of Çan, Turkey",1206301616
2008,03,17,04:24:47,40.242,27.986,9.2,3.6,"12 km S of Band?rma, Turkey",1205727887
2008,03,14,00:25:41,40.681,30.517,10.0,3.8,"4 km NNW of Karapürçek, Turkey",1205454341
2008,03,12,18:53:31,40.621,29.011,11.2,4.3,,1205348011
2008,02,28,12:06:09,40.74,27.27,10.0,3.9,"22 km SW of Kumba?, Turkey",1204200369
2008,02,21,08:45:29,40.798,27.748,9.4,3.8,"25 km SW of Marmara Ere?lisi, Turkey",1203583529
2008,01,28,00:50:43,40.13,28.957,5.0,3.5,"7 km WNW of Kirazl?, Turkey",1201481443
2008,01,27,18:55:43,40.801,27.742,9.0,3.3,"25 km ESE of Kumba?, Turkey",1201460143
2007,12,14,01:43:52,40.475,27.114,8.6,3.6,"29 km NNW of Biga, Turkey",1197596632
2007,12,11,06:03:10,40.862,28.163,5.0,3.0,"21 km SE of Marmara Ere?lisi, Turkey",1197352990
2007,12,09,03:20:09,40.375,27.413,15.8,3.7,"21 km NE of Biga, Turkey",1197170409
2007,11,29,09:29:30,40.604,27.429,4.7,3.4,"10 km W of Marmara, Turkey",1196328570
2007,10,25,11:02:32,40.851,28.694,5.4,2.7,"15 km SSE of Beylikdüzü, Turkey",1193310152
2007,10,10,12:16:50,40.284,28.022,4.8,3.5,"8 km SSE of Band?rma, Turkey",1192018610
2007,10,08,14:06:01,40.725,27.417,8.0,3.7,"17 km SSW of Kumba?, Turkey",1191852361
2007,08,18,07:37:39,40.569,27.01,18.6,4.0,Western Turkey,1187422659
2007,08,11,23:26:25,40.373,27.498,14.0,3.3,"24 km SSW of Marmara, Turkey",1186874785
2007,08,09,23:05:32,40.935,30.754,7.1,2.8,"15 km N of Hendek, Turkey",1186700732
