27.9515	40.7641	5.0	0.355
28.3086	40.7746	3.8	0.253
29.1965	40.4645	4.2	0.287
29.1837	40.3824	4.0	0.27
28.2152	40.8256	3.7	0.245
28.4298	40.8537	4.3	0.296
28.2741	40.8489	4.9	0.347
28.2722	40.8719	4.0	0.27
28.3191	40.7814	4.3	0.296
28.4829	40.8888	5.0	0.355
28.4987	40.8412	4.5	0.312
28.2332	40.8471	4.5	0.312
28.1897	40.8342	6.2	0.457
28.3083	40.8178	3.3	0.21
26.9768	40.2968	4.2	0.287
28.8116	40.5159	3.0	0.185
29.0587	40.73	4.2	0.287
28.848	40.4371	5.1	0.364
27.5314	40.4965	4.1	0.278
27.0261	40.3524	4.2	0.287
27.3855	40.1461	4.3	0.296
28.6157	40.0699	4.4	0.304
27.404	40.769	4.4	0.304
28.9725	40.5313	4.2	0.287
29.1424	40.9881	3.5	0.228
28.0878	40.8777	4.4	0.304
27.3635	40.6937	4.3	0.296
29.2313	40.7105	4.4	0.304
28.2394	40.9289	4.9	0.347
29.2125	40.7283	4.3	0.296
28.1964	40.8151	4.3	0.296
28.1699	40.849	4.5	0.312
28.1814	40.8568	4.4	0.304
28.1502	40.9035	5.7	0.415
28.1454	40.8578	4.9	0.347
30.7838	40.7824	4.5	0.312
30.6426	40.7066	4.4	0.304
27.0809	40.375	4.1	0.278
28.7761	40.1781	3.4	0.219
28.357	40.4257	3.7	0.245
28.9761	40.6063	4.3	0.296
28.955	40.595	4.2	0.287
26.8817	40.0364	4.3	0.296
27.8564	40.5104	4.3	0.296
27.1829	40.1102	4.1	0.278
30.9058	40.8652	4.3	0.296
29.18	40.7118	4.2	0.287
29.2147	40.7032	4.1	0.278
29.146	40.2627	4.4	0.304
30.527	40.053	4.1	0.278
28.7644	40.8751	4.4	0.304
27.765	40.82	4.4	0.304
26.302	40.2527	4.2	0.287
26.266	40.2844	4.8	0.338
26.297	40.248	4.4	0.304
28.587	40.065	4.2	0.287
27.074	40.148	4.4	0.304
30.1188	40.4047	4.3	0.296
29.2073	40.6243	4.0	0.27
26.2392	40.2592	4.0	0.27
26.2658	40.4308	4.4	0.304
27.9282	40.2083	4.6	0.321
28.6327	41.3725	3.8	0.253
27.9123	40.8478	4.0	0.27
27.9198	40.851	4.5	0.312
29.1227	40.4567	3.3	0.21
27.4427	40.3423	4.4	0.304
29.1213	40.4095	4.1	0.278
27.921	40.848	4.9	0.347
26.995	40.314	4.4	0.304
28.895	40.439	4.0	0.27
27.752	40.802	5.1	0.364
29.954	40.247	4.5	0.312
27.858	40.039	4.4	0.304
29.763	40.71	4.1	0.278
27.367	40.597	4.5	0.312
26.333	40.423	5.3	0.381
28.11	40.847	4.4	0.304
28.925	40.43	4.3	0.296
30.121	41.183	4.3	0.296
27.367	40.322	4.3	0.296
27.785	40.798	4.6	0.321
29.174	40.748	3.6	0.236
29.017	40.65	4.1	0.278
28.027	40.25	3.3	0.21
27.448	40.369	4.1	0.278
27.369	40.728	3.7	0.245
28.721	40.466	3.6	0.236
29.021	40.459	3.9	0.262
28.005	40.372	3.7	0.245
26.902	40.189	3.1	0.194
26.915	40.157	3.5	0.228
26.913	40.174	3.8	0.253
26.99	40.17	3.4	0.219
26.915	40.148	3.7	0.245
26.928	40.213	4.1	0.278
27.8	40.5	4.0	0.27
27.094	40.393	3.6	0.236
27.376	40.633	3.9	0.262
27.15	40.49	3.4	0.219
27.424	40.375	3.5	0.228
26.81	40.54	3.7	0.245
26.968	40.137	3.1	0.194
27.986	40.242	3.6	0.236
30.517	40.681	3.8	0.253
29.011	40.621	4.3	0.296
27.27	40.74	3.9	0.262
27.748	40.798	3.8	0.253
28.957	40.13	3.5	0.228
27.742	40.801	3.3	0.21
27.114	40.475	3.6	0.236
28.163	40.862	3.0	0.185
27.413	40.375	3.7	0.245
27.429	40.604	3.4	0.219
28.694	40.851	2.7	0.16
28.022	40.284	3.5	0.228
27.417	40.725	3.7	0.245
27.01	40.569	4.0	0.27
27.498	40.373	3.3	0.21
30.754	40.935	2.8	0.168
30.082	40.754	3.9	0.262
27.258	40.624	3.5	0.228
27.045	40.364	3.0	0.185
27.83	40.42	3.5	0.228
27.449	40.399	3.5	0.228
27.368	40.729	3.3	0.21
26.95	40.62	3.4	0.219
26.61	40.57	3.4	0.219
29.007	40.654	2.8	0.168
27.512	40.817	3.3	0.21
27.726	40.071	2.7	0.16
26.287	40.425	3.7	0.245
27.629	40.415	3.4	0.219
28.358	40.576	2.8	0.168
28.709	40.84	2.8	0.168
30.841	40.918	3.5	0.228
27.41	40.771	3.7	0.245
28.39	40.586	4.0	0.27
27.931	40.446	3.5	0.228
29.66	40.219	2.7	0.16
27.483	40.714	3.9	0.262
29.156	40.702	2.7	0.16
28.99	40.42	3.1	0.194
29.167	40.489	2.6	0.151
27.677	40.474	2.5	0.143
28.052	40.321	2.6	0.151
30.31	40.447	2.8	0.168
28.983	40.431	2.5	0.143
28.802	40.438	2.6	0.151
29.034	40.037	2.5	0.143
28.321	40.391	4.6	0.321
26.82	40.54	3.6	0.236
27.992	40.294	3.6	0.236
27.035	40.109	2.6	0.151
28.531	40.342	2.8	0.168
27.754	40.808	3.6	0.236
27.986	40.23	3.0	0.185
28.04	40.283	2.9	0.176
29.233	40.642	3.3	0.21
28.996	40.423	3.7	0.245
29.064	40.468	2.9	0.176
29.004	40.408	3.9	0.262
27.35	40.69	3.6	0.236
29.107	40.424	5.0	0.355
27.503	40.789	2.9	0.176
28.003	40.265	3.0	0.185
28.001	40.288	3.7	0.245
28.059	40.236	4.8	0.338
26.92	40.28	3.7	0.245
28.013	40.776	3.7	0.245
27.702	40.792	2.9	0.176
27.686	40.79	2.7	0.16
27.485	40.79	2.8	0.168
27.691	40.814	2.6	0.151
27.697	40.8	3.3	0.21
27.682	40.818	2.7	0.16
27.303	40.288	3.8	0.253
29.138	40.34	2.9	0.176
29.256	40.612	2.8	0.168
29.284	40.613	2.8	0.168
27.696	40.207	2.9	0.176
28.12	40.566	3.9	0.262
30.321	40.686	3.3	0.21
30.326	40.699	3.1	0.194
27.66	40.16	3.6	0.236
30.618	40.752	3.2	0.202
30.349	40.69	3.8	0.253
30.352	40.704	4.6	0.321
27.111	40.371	3.4	0.219
29.158	40.477	2.5	0.143
29.632	40.245	2.8	0.168
27.608	40.392	2.8	0.168
27.652	40.796	2.6	0.151
30.695	40.664	2.7	0.16
29.012	40.242	2.9	0.176
27.316	40.289	3.6	0.236
30.595	40.725	2.8	0.168
29.081	40.663	3.7	0.245
26.39	40.47	3.0	0.185
27.298	40.7	4.1	0.278
28.06	40.4	3.5	0.228
27.73	40.31	3.6	0.236
27.89	40.32	3.3	0.21
27.861	40.092	3.0	0.185
30.292	40.71	3.2	0.202
30.115	40.675	2.9	0.176
29.01	40.051	2.7	0.16
27.652	40.067	2.8	0.168
26.26	40.42	3.4	0.219
27.442	40.708	3.8	0.253
27.693	41.088	2.7	0.16
30.177	40.637	3.0	0.185
27.49	40.23	3.1	0.194
27.299	40.749	2.9	0.176
27.707	40.624	3.1	0.194
27.432	40.784	2.8	0.168
29.095	40.658	2.7	0.16
27.717	40.608	3.6	0.236
30.877	40.77	3.0	0.185
27.484	40.663	3.8	0.253
27.572	40.744	3.9	0.262
29.026	40.237	2.8	0.168
29.007	40.6	2.8	0.168
27.563	40.775	2.7	0.16
30.227	40.969	2.9	0.176
29.041	40.777	3.2	0.202
29.02	40.781	4.0	0.27
26.43	41.157	2.9	0.176
26.35	40.71	3.6	0.236
26.927	40.638	3.9	0.262
26.33	40.348	2.9	0.176
26.978	40.504	3.6	0.236
27.484	40.768	2.6	0.151
27.418	40.932	2.5	0.143
30.603	40.511	4.0	0.27
27.8	40.802	2.7	0.16
29.324	41.066	2.6	0.151
28.689	40.11	2.8	0.168
30.006	40.725	2.6	0.151
27.788	40.815	2.7	0.16
27.621	40.417	2.8	0.168
27.356	40.295	2.7	0.16
27.859	40.282	3.1	0.194
27.457	40.793	2.7	0.16
27.588	40.413	2.1	0.109
29.135	40.438	3.7	0.245
27.385	40.768	2.8	0.168
30.41	40.924	2.8	0.168
29.23	40.591	2.5	0.143
28.885	41.124	2.4	0.134
28.702	40.477	2.4	0.134
28.625	40.378	2.7	0.16
29.336	41.069	2.8	0.168
29.434	40.329	2.9	0.176
29.319	41.029	2.8	0.168
29.497	40.812	2.5	0.143
30.293	40.575	2.8	0.168
29.465	40.81	2.6	0.151
29.33	41.071	2.7	0.16
27.747	41.154	2.8	0.168
28.78	40.242	2.6	0.151
27.503	40.65	2.6	0.151
28.793	40.2	2.6	0.151
28.891	41.188	2.7	0.16
29.453	40.804	2.3	0.126
27.61	40.652	2.4	0.134
28.893	41.127	2.4	0.134
27.547	40.782	2.6	0.151
29.322	40.696	4.4	0.304
27.703	40.608	4.1	0.278
26.47	40.51	3.6	0.236
27.499	40.289	3.0	0.185
29.082	40.612	2.6	0.151
29.052	40.636	2.6	0.151
29.266	40.687	2.4	0.134
30.916	40.823	3.0	0.185
27.691	40.03	3.0	0.185
28.462	41.205	2.6	0.151
29.488	40.812	2.5	0.143
29.496	40.795	2.3	0.126
28.84	41.026	2.5	0.143
29.22	40.719	2.8	0.168
29.135	40.609	2.6	0.151
29.539	40.838	2.6	0.151
29.094	40.634	2.8	0.168
27.469	40.609	2.7	0.16
29.052	40.694	2.6	0.151
29.074	40.629	2.7	0.16
29.114	40.687	2.7	0.16
27.443	40.655	2.8	0.168
27.385	40.76	2.7	0.16
27.816	40.245	2.5	0.143
27.736	40.507	2.5	0.143
29.191	40.742	2.6	0.151
27.28	40.6	3.7	0.245
28.438	40.452	3.0	0.185
29.609	41.018	2.4	0.134
28.791	40.162	2.7	0.16
27.818	40.639	2.7	0.16
27.747	40.258	2.8	0.168
28.885	41.166	2.7	0.16
29.335	41.102	2.6	0.151
29.015	41.171	2.7	0.16
27.754	40.814	2.9	0.176
27.492	40.594	2.7	0.16
30.644	40.681	3.1	0.194
28.082	41.386	2.7	0.16
29.36	41.089	2.7	0.16
29.356	41.083	2.7	0.16
28.872	41.17	2.6	0.151
29.255	40.712	2.6	0.151
30.894	40.487	4.3	0.296
27.43	40.744	3.9	0.262
27.19	40.63	3.3	0.21
26.9	40.55	3.5	0.228
26.27	40.48	2.6	0.151
26.81	40.6	3.4	0.219
26.26	40.44	3.2	0.202
28.801	40.221	2.6	0.151
27.941	40.247	4.1	0.278
28.02	40.242	4.5	0.312
27.137	40.526	3.8	0.253
30.726	40.771	4.1	0.278
28.818	40.036	4.1	0.278
30.545	40.51	3.5	0.228
30.697	40.584	3.8	0.253
30.885	40.418	4.0	0.27
30.299	40.441	3.8	0.253
27.692	40.617	2.6	0.151
28.04	41.03	3.6	0.236
27.07	40.49	3.5	0.228
29.499	40.864	2.5	0.143
29.201	40.283	2.6	0.151
29.447	40.853	2.4	0.134
29.305	40.535	2.4	0.134
27.837	40.748	3.6	0.236
27.337	40.682	3.4	0.219
27.394	40.699	3.9	0.262
28.327	40.553	3.8	0.253
27.131	40.384	3.3	0.21
27.85	40.859	4.1	0.278
28.123	40.819	3.9	0.262
29.324	40.684	2.5	0.143
27.585	40.75	2.9	0.176
27.559	40.733	2.9	0.176
28.769	40.321	2.4	0.134
27.781	40.835	2.7	0.16
27.567	40.732	2.7	0.16
27.591	40.324	2.4	0.134
27.438	40.463	2.4	0.134
27.776	41.054	2.6	0.151
29.46	40.816	2.6	0.151
28.63	40.047	2.8	0.168
30.809	40.795	3.6	0.236
27.052	40.676	3.4	0.219
29.24	40.102	2.9	0.176
28.766	40.826	2.6	0.151
28.725	40.866	2.8	0.168
28.735	40.855	3.0	0.185
28.716	40.863	3.0	0.185
28.489	40.366	2.5	0.143
26.651	40.047	2.6	0.151
27.538	40.488	2.7	0.16
27.396	40.108	2.5	0.143
30.387	40.89	2.5	0.143
28.726	40.862	2.6	0.151
29.185	40.765	2.3	0.126
27.212	40.117	2.3	0.126
26.957	40.423	2.7	0.16
27.15	40.473	3.1	0.194
30.627	40.809	2.5	0.143
28.701	40.891	2.6	0.151
