fid,rid,level,sa_target_g,sa_record_g,scale,T1_s,midr,ds_index,damage_state,status,soft,deficient,n_storey,fc_MPa,rho_long,r_k,mw,rjb_km,vs30,pga_g,runtime_s
0,TK-1999-0415_487_HNN,0,0.05,0.63088,0.0793,0.5129,0.0004639043281896201,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,28.1,863.0,0.3036,3.48
0,TK-1999-0415_487_HNN,1,0.15,0.63088,0.2378,0.5129,0.0015224334383236546,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,28.1,863.0,0.3036,3.83
0,TK-1999-0415_487_HNN,2,0.35,0.63088,0.5548,0.5129,0.0037169522701116045,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,28.1,863.0,0.3036,4.52
0,TK-1999-0415_487_HNN,3,0.65,0.63088,1.0303,0.5129,0.004721461535501384,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,28.1,863.0,0.3036,5.12
0,TK-1999-0415_487_HNN,4,1.1,0.63088,1.7436,0.5129,0.00986431049315785,1,Light,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,28.1,863.0,0.3036,5.7
0,TK-1999-0415_487_HNN,5,2.0,0.63088,3.1702,0.5129,0.01559184091557532,2,Moderate,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,28.1,863.0,0.3036,6.41
0,TK-1999-0415_496_HNN,0,0.05,0.51578,0.0969,0.5129,0.000551345913923908,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.7,836.0,1.031,3.3
0,TK-1999-0415_496_HNN,1,0.15,0.51578,0.2908,0.5129,0.002134930786649057,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.7,836.0,1.031,4.19
0,TK-1999-0415_496_HNN,2,0.35,0.51578,0.6786,0.5129,0.010795606991608706,1,Light,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.7,836.0,1.031,5.22
0,TK-1999-0415_496_HNN,3,0.65,0.51578,1.2602,0.5129,0.016998662302502698,2,Moderate,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.7,836.0,1.031,5.64
0,TK-1999-0415_496_HNN,4,1.1,0.51578,2.1327,0.5129,0.020052761961564313,2,Moderate,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.7,836.0,1.031,6.13
0,TK-1999-0415_496_HNN,5,2.0,0.51578,3.8776,0.5129,0.0350589033347292,3,Heavy,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.7,836.0,1.031,6.9
0,TK-1999-0415_498_HNN,0,0.05,0.48123,0.1039,0.5129,0.0004729919561768799,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.0,712.0,0.3967,3.34
0,TK-1999-0415_498_HNN,1,0.15,0.48123,0.3117,0.5129,0.0014777895859227422,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.0,712.0,0.3967,3.89
0,TK-1999-0415_498_HNN,2,0.35,0.48123,0.7273,0.5129,0.0029493544343664716,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.0,712.0,0.3967,4.35
