fid,rid,level,soft,deficient,midr_sim,midr_pred,ds_true,ds_pred
0,TK-1999-0415_C0375_HNN,5,False,False,0.0207074716294593,0.023785054431423758,2,2
0,TK-1999-0415_C1058_HNE,0,False,False,0.0004623472173659,0.00045075364481216566,0,0
0,TK-1999-0415_C1058_HNE,1,False,False,0.0014385077503297,0.001807545082775525,0,0
0,TK-1999-0415_C1058_HNE,2,False,False,0.0036361404993607,0.005895992558654481,0,1
0,TK-1999-0415_C1058_HNE,3,False,False,0.009697928787398,0.011289349780682805,1,2
0,TK-1999-0415_C1058_HNE,4,False,False,0.0354219549632577,0.029181400401736737,3,3
0,TK-1999-0415_C1058_HNE,5,False,False,0.1,0.05711970933865291,4,4
0,TK-1999-0415_C1059_HNN,0,False,False,0.0004655813508932,0.00044179786983504136,0,0
0,TK-1999-0415_C1059_HNN,1,False,False,0.0014550095381111,0.0015252508114881507,0,0
0,TK-1999-0415_C1060_HNE,0,False,False,0.0004982925512353,0.0005235353123439914,0,0
0,TK-1999-0415_C1060_HNE,1,False,False,0.0016624594707581,0.0018558678916468215,0,0
0,TK-1999-0415_C1060_HNE,2,False,False,0.0067784509912364,0.004172543813072827,1,0
0,TK-1999-0415_C1060_HNE,3,False,False,0.0109642414483786,0.008481250346292376,1,1
0,TK-1999-0415_C1059_HNN,2,False,False,0.0030417587419536,0.004237388873764331,0,0
0,TK-1999-0415_C1059_HNN,3,False,False,0.0068579112795916,0.0067746422143390855,1,1
0,TK-1999-0415_C1059_HNN,4,False,False,0.013618319118127,0.01439206578827357,2,2
0,TK-1999-0415_C1059_HNN,5,False,False,0.0208637936474177,0.031541877368195324,2,3
0,TK-1999-0415_C1060_HNE,4,False,False,0.0209844794694285,0.014508623796555759,2,2
0,TK-1999-0415_C1060_HNE,5,False,False,0.050457257743804,0.028957622693146126,3,2
0,TK-1999-0415_C1061_HNE,0,False,False,0.0004436271644727,0.00046688324443245954,0,0
0,TK-1999-0415_C1061_HNE,1,False,False,0.0011433357097896,0.0016268645456462472,0,0
0,TK-1999-0415_C1061_HNE,2,False,False,0.0030972338137963,0.00377654197834553,0,0
0,TK-1999-0415_C1061_HNE,3,False,False,0.0062264876985415,0.006744902520507035,1,1
0,TK-1999-0415_C1061_HNE,4,False,False,0.0138466757640987,0.01054530751663434,2,2
0,TK-1999-0415_C1061_HNE,5,False,False,0.0295350709680782,0.018771187174323127,2,2
0,TK-1999-0415_C1062_HNE,0,False,False,0.0004704207308259,0.00047156860477469496,0,0
0,TK-1999-0415_C1062_HNE,1,False,False,0.0019046471896777,0.0016257503203875266,0,0
0,TK-1999-0415_C1062_HNE,2,False,False,0.0055659753538762,0.004562153696542662,1,0
0,TK-1999-0415_C1062_HNE,3,False,False,0.0106126760492873,0.007946559649912496,1,1
0,TK-1999-0415_C1062_HNE,4,False,False,0.0173742600191813,0.015434571007897392,2,2
0,TK-1999-0415_C1062_HNE,5,False,False,0.0364182167654133,0.03710481170692134,3,3
0,TK-1999-0415_D0531_HNN,0,False,False,0.0004803289344345,0.0004264152662154766,0,0
0,TK-1999-0415_D0531_HNN,1,False,False,0.00183072557754,0.0012684863245528205,0,0
0,TK-1999-0415_1401_HNE,0,False,False,0.0004652618431399,0.00047957597672146704,0,0
0,TK-1999-0415_1401_HNE,1,False,False,0.0018552095704874,0.0018460145219412279,0,0
0,TK-1999-0415_1401_HNE,2,False,False,0.0058361938515646,0.006028500522687269,1,0
0,TK-1999-0415_1401_HNE,3,False,False,0.0101177691327062,0.010476431206841394,1,1
0,TK-1999-0415_D0531_HNN,2,False,False,0.0035019012406972,0.0028613994748923834,0,0
0,TK-1999-0415_D0531_HNN,3,False,False,0.007367111712849,0.004820256875837522,1,0
0,TK-1999-0415_D0531_HNN,4,False,False,0.0117351987105314,0.008246592744242581,1,1
0,TK-1999-0415_D0531_HNN,5,False,False,0.0202467725444086,0.016809431887728484,2,2
0,TK-1999-0415_1401_HNE,4,False,False,0.0313996065014152,0.023252645118943736,3,2
0,TK-1999-0415_1401_HNE,5,False,False,0.0375174029701832,0.03926153892517783,3,3
0,TK-1999-0415_1406_HNN,0,False,False,0.000473616953331,0.0005427407591116066,0,0
0,TK-1999-0415_1406_HNN,1,False,False,0.0022812867535729,0.002035506193368397,0,0
0,TK-1999-0415_8101_HNE,0,False,False,0.0004766148255453,0.0004789658254288308,0,0
0,TK-1999-0415_8101_HNE,1,False,False,0.0020909800576103,0.0019323141662762845,0,0
0,TK-1999-0415_8101_HNE,2,False,False,0.0105634278131894,0.007203059529599145,1,1
0,TK-1999-0415_8101_HNE,3,False,False,0.0175802281070188,0.014133422292439284,2,2
0,TK-1999-0415_1406_HNN,2,False,False,0.0063257814798604,0.0054517840988507985,1,1
0,TK-1999-0415_1406_HNN,3,False,False,0.0119628860199549,0.01027163257266812,1,1
