fid,soft,deficient,n_storey,n_bay,fc,fy,rho_long,conf_ratio,r_k,col_b,col_h,beam_b,beam_h,xi,T1_s,T3_s
43,True,False,4,3,27104017.214280963,420000000.0,0.01113750354848402,1.3,0.4930614778153998,0.478,0.478,0.3,0.5,0.05,0.584,0.0931
44,True,False,8,3,31912950.656532962,420000000.0,0.01911717475532628,1.3,0.3825698350963611,0.589,0.589,0.3,0.5,0.05,0.934,0.1571
45,True,True,7,3,23546970.946473077,220000000.0,0.009114232981226992,1.1,0.5716993929090584,0.501,0.501,0.3,0.5,0.05,0.987,0.1727
46,True,True,8,3,18216190.057396147,220000000.0,0.010644790366088263,1.1,0.5177993128512143,0.562,0.562,0.3,0.5,0.05,1.1059,0.1896
47,True,True,7,3,21220772.703272615,220000000.0,0.01098963324861973,1.1,0.5410453132904598,0.542,0.542,0.3,0.5,0.05,0.9501,0.1612
48,True,True,4,3,19665783.393333137,220000000.0,0.013412590868037214,1.1,0.32461431193334433,0.471,0.471,0.3,0.5,0.05,0.6817,0.1043
49,True,True,3,3,17002613.89954777,220000000.0,0.011521395660953145,1.1,0.43738934745981833,0.409,0.409,0.3,0.5,0.05,0.6105,0.0989
50,True,True,6,3,16154830.561124988,220000000.0,0.00813360955698712,1.1,0.5869007674420874,0.515,0.515,0.3,0.5,0.05,0.9053,0.1525
51,True,True,8,3,23825167.318298824,220000000.0,0.008625410466036917,1.1,0.37797331051382654,0.594,0.594,0.3,0.5,0.05,1.0561,0.1767
52,True,True,5,3,22931455.60288379,220000000.0,0.012578188540141533,1.1,0.38169311288255564,0.485,0.485,0.3,0.5,0.05,0.7609,0.1246
53,True,True,7,3,21751120.339930635,220000000.0,0.011828619308822931,1.1,0.30291612310222144,0.533,0.533,0.3,0.5,0.05,1.0149,0.1714
54,True,True,2,3,24965194.019469474,220000000.0,0.012291257178189104,1.1,0.4818119561090801,0.43,0.43,0.3,0.5,0.05,0.3663,0.0352
55,True,True,3,3,20711724.059280057,220000000.0,0.009205129887221013,1.1,0.5388297335780022,0.437,0.437,0.3,0.5,0.05,0.52,0.0844
56,True,True,5,3,18591330.584507775,220000000.0,0.012802890998262678,1.1,0.47872099239039023,0.454,0.454,0.3,0.5,0.05,0.8113,0.1388
57,True,True,5,3,22113048.819382757,220000000.0,0.009968264277326772,1.1,0.3538307301271558,0.47,0.47,0.3,0.5,0.05,0.8142,0.1339
58,True,True,4,3,17776448.60153776,220000000.0,0.010187972802876366,1.1,0.4123792978722276,0.498,0.498,0.3,0.5,0.05,0.6409,0.0982
59,True,True,2,3,19157943.938422896,220000000.0,0.013877707431250861,1.1,0.4412859942355827,0.425,0.425,0.3,0.5,0.05,0.4014,0.0372
